A B A B A B B A
18.767548 4.847568 16.697807 -2.029385 15.146093 -4.694625 -1.641195 19.953746
18.599369 4.536259 17.220837 -1.633932 14.698081 -5.134131 -0.940982 20.888158
17.459437 3.872746 18.863736 -1.360676 14.536334 -4.215481 -0.628790 20.281075
19.345455 3.568491 19.606723 -0.785261 13.011701 -4.267644 -0.200983 19.943546
19.478294 3.736929 17.094348 0.183400 11.381873 -3.984229 1.072410 19.922522
19.898544 3.115319 18.375209 0.644626 10.874518 -3.300064 1.212137 21.320712
20.044999 2.231558 18.612229 1.663158 12.486180 -2.721001 2.294478 18.879480
21.340068 2.085620 17.770436 1.769076 10.793024 -2.052136 2.725707 19.846802
18.847751 0.839717 18.326974 2.363718 8.412293 -1.862832 3.043292 19.250014
18.092047 0.396430 19.353793 3.368337 10.737863 -0.925532 3.767009 18.414921
20.200661 0.265728 20.555917 3.619536 7.016346 -0.181805 4.170256 20.656373
19.916899 -0.589451 19.426415 3.257325 8.422039 0.518865 4.411478 21.399013
20.096988 -1.286720 21.247931 4.441567 7.097711 1.162571 5.202850 21.314790
20.944543 -2.035312 19.380538 4.509815 7.843033 1.990481 4.659166 18.935534
21.562102 -3.235719 20.396232 4.478535 6.943895 2.459962 5.398327 17.770463
20.277536 -3.086526 19.830687 5.221971 6.125291 3.302852 5.104992 19.498556
20.992073 -3.757882 21.513816 5.187936 5.578504 4.019866 5.099871 18.952233
21.212802 -3.626943 20.450529 5.076294 4.014148 3.870194 4.825893 20.281608
18.871350 -4.661550 20.173968 5.227285 3.940237 4.143004 4.898563 19.984414
20.705190 -4.789586 19.417526 5.287511 2.374946 4.501932 4.372008 21.428804
18.848687 -4.388155 20.076413 4.742447 2.678553 4.789900 4.535051 19.968813
19.899350 -4.484839 18.616434 4.195684 2.753853 5.269419 3.345894 16.929942
20.045102 -4.928255 20.986242 4.178779 1.588102 4.677589 3.034379 17.317456
19.319380 -4.951055 21.136922 3.851365 -0.641502 4.520748 2.595106 18.123794
19.636805 -4.153678 19.221716 3.606769 1.647061 4.804139 2.172557 18.912954
18.698092 -4.581893 21.471764 2.868850 0.237543 4.681773 1.569183 16.494244
20.082989 -4.419027 19.694224 2.308514 -1.212368 3.900105 1.110816 15.140860
19.338454 -3.960523 20.395212 2.001550 -2.928718 3.639886 -0.008162 15.840533
17.654398 -3.428178 20.161738 1.742575 -2.407032 2.203741 -0.115274 14.188022
18.301066 -2.838990 20.179681 1.071007 -3.748161 2.539670 -1.168349 16.967963
18.210588 -2.536258 17.863728 0.132298 -1.963342 1.719204 -1.449690 16.685548
16.999925 -1.708990 19.625193 -0.374134 -5.325396 1.183771 -2.357511 15.125898
15.729073 -1.642722 19.057544 -0.836015 -4.856895 0.464848 -2.469986 14.275854
15.517831 -0.328610 16.106086 -1.842653 -6.235956 -0.235441 -3.449383 14.025796
16.196856 0.036546 18.218000 -2.298632 -5.347874 -0.994777 -4.205399 10.560646
18.226513 0.399755 16.658033 -2.445766 -6.323948 -1.071401 -4.009174 12.648144
13.707298 1.500675 17.793823 -3.157664 -8.109735 -1.623815 -4.613674 13.528613
14.523532 2.112327 16.186310 -3.878544 -7.988500 -2.633238 -4.925492 12.307429
13.089296 1.961808 16.876050 -4.252237 -7.710304 -3.364572 -4.819855 9.200825
15.872911 3.244678 16.934511 -4.216352 -12.672205 -3.362864 -5.105686 10.540431
14.641601 3.835970 18.003171 -4.291548 -10.559711 -4.155636 -5.206181 10.158712
14.993671 4.556110 17.187070 -4.924389 -10.534446 -4.559555 -5.251428 10.024122
12.114928 4.282340 15.575893 -4.989483 -10.187838 -4.626524 -4.941213 10.806579
13.142576 4.826342 14.080188 -5.069640 -11.529083 -4.409499 -4.725844 7.331374
13.057006 5.029931 14.865111 -5.486734 -10.373707 -5.210793 -4.341888 7.256619
10.993648 4.838117 14.694998 -4.990029 -13.391692 -5.014409 -3.872057 7.200370
10.843940 4.649494 14.145091 -5.132473 -13.679290 -4.890613 -3.823097 6.970002
9.544654 5.698728 12.725744 -5.227813 -13.332467 -4.866325 -3.107620 5.083043
10.832028 4.708881 12.258335 -4.153847 -12.622524 -4.128922 -2.487335 5.902770
8.912921 4.600408 10.964108 -4.220336 -13.166382 -3.823273 -2.241279 2.767370
8.724237 4.097183 12.244747 -3.762213 -14.341397 -4.280975 -1.208981 3.511292
6.190713 3.716455 10.733898 -2.858233 -15.977667 -2.931204 -0.182636 3.669926
7.480884 2.950564 10.477789 -2.686963 -15.097321 -2.161927 0.084610 -0.796560
8.418817 2.584027 9.391402 -2.227477 -16.392562 -1.962871 0.556379 3.076883
5.491141 2.267616 10.454102 -1.690810 -14.807472 -1.386735 1.517632 1.613636
6.207577 1.803904 8.166823 -0.933193 -17.375953 -0.603546 1.427657 2.008567
5.847613 0.846456 9.076893 -0.365116 -16.606752 0.265570 2.887137 0.902584
5.741229 -0.010178 6.084823 0.232486 -16.260283 1.217316 3.418640 -0.462647
5.104851 -0.298814 9.114698 1.181378 -18.438368 1.366124 3.571553 -0.507061
2.512701 -0.817017 6.006637 1.247433 -16.931978 2.117301 3.838090 -1.710130
3.467928 -1.781651 3.860260 1.605445 -17.435934 1.952314 4.381347 -4.476643
3.547216 -2.729908 6.003043 2.988795 -18.543493 3.308419 5.209579 -3.289365
1.829354 -2.500765 6.368052 3.313493 -18.321251 3.509666 5.186896 -3.556750
1.426348 -3.370483 3.116652 3.155968 -17.293843 4.299360 5.034538 -4.192073
1.967075 -3.698230 4.622332 4.207395 -17.135722 4.489346 4.853475 -4.912520
-2.426249 -4.147404 3.406346 4.188629 -17.663208 4.544751 4.983469 -3.764773
-1.205632 -4.674938 0.970804 4.764446 -18.409457 4.701806 5.224047 -6.191296
-1.990923 -4.712140 1.700257 5.037090 -18.095108 4.789232 4.741668 -6.334718
-2.170766 -4.870946 1.479601 4.820402 -18.858156 4.523635 4.630898 -7.640835
-2.848019 -5.126054 1.128877 5.049175 -19.541988 4.741458 4.037480 -6.053569
-1.521297 -4.922926 -2.369445 4.865916 -20.427779 4.543157 3.672982 -5.490925
-2.588042 -5.293734 -1.334606 4.942595 -19.227732 3.970352 3.145697 -7.785486
-2.845061 -5.241467 -1.263209 4.906405 -22.386877 3.631271 2.974223 -8.130000
-3.164991 -4.279063 0.609062 4.488827 -22.015312 3.657554 2.349628 -9.840959
-5.696131 -4.154562 -2.012711 4.438648 -18.737643 3.074456 1.302670 -9.676209
-5.656177 -3.672861 -5.619692 3.828963 -20.227756 2.249653 0.776936 -11.836060
-5.860607 -3.248619 -4.857124 4.211385 -21.212097 1.950223 0.280809 -11.784462
-8.878503 -2.845659 -3.940257 3.451146 -18.686835 0.783725 -0.295505 -10.849750
-9.038006 -2.376114 -4.961575 3.059299 -20.436865 0.395596 -1.700166 -12.015382
-8.030381 -1.298777 -6.967407 2.390862 -19.363451 -0.511347 -1.753261 -12.276598
-8.310091 -0.580126 -5.384898 1.347073 -20.074769 -0.918728 -2.295956 -13.383399
-10.543946 0.143649 -7.750860 0.991744 -19.808915 -1.757909 -2.655234 -15.802387
-10.533562 0.115199 -7.293736 0.584715 -19.309762 -2.173609 -3.400037 -16.091158
-10.423197 1.294120 -7.061705 -0.830554 -19.241385 -2.787220 -3.533869 -14.101750
-10.863978 2.299091 -9.781547 -1.102065 -17.544681 -3.493611 -4.729517 -14.122072
-13.293698 2.210441 -9.941842 -1.151145 -16.465006 -4.091214 -4.207178 -17.121158
-11.384136 2.920133 -9.606257 -2.037646 -19.261350 -4.544498 -4.895446 -18.111307
-11.024037 3.423806 -11.249001 -2.419285 -17.103480 -4.952156 -5.061998 -15.549379
-13.055878 3.996598 -10.327406 -2.473814 -16.281019 -4.911540 -5.139351 -16.812841
-15.120498 3.902103 -10.895054 -4.127538 -14.934193 -4.700118 -4.956057 -17.195853
-12.481562 4.659149 -11.801513 -3.424395 -17.895351 -4.771186 -5.257063 -17.050753
-14.682036 5.100751 -12.671859 -4.456994 -15.729643 -4.715742 -4.975769 -17.031982
-15.047794 5.278697 -12.370713 -4.837078 -17.074159 -4.954056 -4.878840 -17.657347
-15.579995 5.179391 -13.323732 -4.291746 -15.591649 -4.535425 -4.194536 -18.024116
-16.327140 4.488184 -14.505958 -4.737265 -14.216153 -4.447531 -4.101288 -17.778705
-15.420746 5.242290 -14.957420 -4.617707 -14.645284 -3.196355 -3.345343 -18.196080
-16.143454 4.707283 -14.273673 -5.243235 -13.500107 -3.387969 -2.903915 -17.792047
-16.252538 4.220439 -15.537132 -5.082503 -13.903777 -2.456976 -2.345988 -18.109778
-16.905056 3.727387 -15.140699 -4.843346 -13.694447 -2.031889 -2.124342 -18.353542
-15.271750 3.557284 -15.823568 -4.683898 -11.602852 -1.489608 -1.186224 -19.298106
-18.960241 3.014123 -15.232568 -4.817160 -9.947608 -0.256474 -0.586487 -18.604062
-16.423365 2.411164 -17.786729 -4.345586 -12.055226 -0.351524 -0.051568 -20.147216
-19.405086 2.054316 -18.579528 -3.914816 -11.034160 0.578248 0.099702 -19.516797
-18.198924 1.728558 -18.649900 -4.066280 -11.948836 1.193237 1.927686 -20.795914
-17.019680 0.694749 -18.364928 -3.279062 -9.379747 1.563164 2.067451 -18.871845
-19.654547 -0.128196 -16.946048 -2.606818 -9.764985 2.460206 3.077712 -19.684950
-18.195204 -0.630377 -17.424950 -1.687397 -8.512907 2.982684 3.436779 -18.244365
-21.581704 -0.992346 -19.521795 -1.200373 -8.460844 3.363128 3.584118 -19.406303
-19.104310 -2.229664 -16.904964 -1.062475 -5.689237 3.839191 4.023494 -20.926146
-18.554107 -2.823655 -19.157772 -0.398569 -5.729066 4.599316 4.509341 -20.880228
-18.880024 -2.857127 -20.191998 0.348777 -6.173246 4.343907 4.894342 -19.507220
-20.604349 -3.447633 -20.117253 0.941688 -5.591493 4.753991 5.343281 -19.509919
-17.998512 -3.789057 -20.275605 1.703999 -4.478225 4.721320 5.537434 -18.897896
-21.306497 -4.190070 -19.982631 2.328296 -5.800775 5.074485 5.314618 -21.419783
-20.145052 -4.273321 -21.245226 3.174133 -3.660567 4.807568 4.590688 -18.540138
-19.625701 -4.772507 -19.444274 3.645937 -4.236460 4.244261 5.464149 -19.537501
-19.903851 -5.198387 -19.180899 4.051130 -1.634674 4.067968 4.644737 -19.406673
-20.375388 -5.209450 -20.970564 4.299151 -0.448618 4.193146 4.561919 -18.456458
-19.283454 -5.190539 -19.306268 4.682898 -1.799369 3.714338 4.034807 -18.970864
-19.010988 -4.781397 -19.244554 4.440208 0.651896 3.192933 3.816380 -17.546108
-20.120758 -4.581681 -19.308392 5.001141 -1.085449 2.084404 3.600845 -18.044323
-18.976779 -4.258302 -22.275531 5.289484 0.133648 1.922911 2.632143 -17.574218
-20.701549 -4.162948 -19.714641 5.446056 0.532651 1.271114 1.911056 -18.507537
-18.465238 -3.862005 -19.543726 5.460075 0.789997 0.753925 1.166303 -17.704306
-21.902595 -3.261674 -20.357850 5.208417 2.450604 -0.353048 0.900516 -17.075859
-19.643150 -2.116261 -20.561287 4.779140 3.912102 -1.011429 0.430516 -15.709962
-18.805533 -2.526491 -20.499570 4.601031 4.385815 -1.424708 -0.560571 -15.172010
-17.876440 -1.194462 -20.933558 4.829725 4.716335 -2.183526 -1.579934 -16.214578
-19.309692 -0.451051 -21.450932 4.067694 5.189976 -2.160079 -1.507663 -16.011799
-16.186451 -0.322904 -19.435276 3.801193 4.667702 -2.686345 -2.537148 -16.959130
-18.112894 0.507871 -19.001713 3.110618 5.549840 -3.223953 -2.809980 -15.859274
-18.804266 1.352918 -19.421566 2.356311 7.296579 -4.457763 -3.571330 -14.442891
-16.506329 1.992962 -19.661086 2.541241 5.523300 -4.368863 -4.130409 -14.685009
-17.791219 2.351521 -18.548690 1.409642 8.076546 -4.663175 -4.410703 -14.881779
-16.355811 3.014257 -18.916656 1.135961 9.702064 -4.291287 -4.436435 -14.026708
-16.050403 3.701875 -19.426158 0.529804 9.072488 -4.761901 -4.642721 -12.367142
-16.402052 4.477748 -18.229707 -0.200610 8.594287 -4.689949 -4.944486 -13.397174
-14.389599 4.429275 -18.527327 -0.874550 9.756188 -4.906294 -5.051373 -12.162751
-15.987790 4.793548 -17.618119 -1.135682 11.715365 -4.298125 -5.422643 -12.830852
-14.058828 4.544130 -19.219846 -1.963580 11.157219 -4.768140 -5.010153 -11.709876
-14.325010 4.759690 -17.468339 -3.214146 11.108390 -4.048319 -4.924903 -9.536652
-14.246566 4.784811 -16.303890 -3.248300 12.840897 -2.756486 -4.733218 -10.194273
-13.133967 4.707183 -14.683201 -3.539732 12.477887 -2.551655 -4.216665 -10.069749
-15.147313 5.372323 -16.324560 -4.153986 14.200565 -2.420138 -3.665580 -8.370971
-12.642830 4.752301 -14.177170 -4.700353 12.640968 -1.576837 -3.512513 -9.316675
-11.742886 4.361503 -14.462853 -4.537246 13.489920 -0.822641 -2.878953 -8.641758
-12.450858 3.993406 -14.289163 -4.742566 14.354396 -0.219237 -2.021929 -6.740932
-9.691987 3.257670 -14.289713 -5.508982 14.829855 0.246367 -1.609077 -6.553726
-12.665182 2.960438 -13.609270 -5.658138 14.353767 1.045317 -0.941082 -6.104574
-10.170582 2.618874 -12.834630 -5.275735 15.338505 1.267430 0.046033 -4.895307
-9.522037 1.697089 -13.439045 -5.272131 14.388743 1.917348 -0.271378 -4.959608
-8.854095 1.146082 -12.172216 -5.451827 17.513282 2.605537 1.601160 -4.432453
-7.080934 0.635261 -8.940788 -4.444811 17.205773 3.821992 1.872508 -3.369355
-5.764282 -0.492928 -8.778976 -4.305868 16.488644 3.654507 2.810414 -3.138121
-6.092337 -0.903893 -11.343563 -3.991775 17.119362 3.678124 3.062275 -0.092650
-6.836451 -1.816225 -8.222954 -3.607562 16.642763 4.319955 2.890995 -1.953514
-4.072763 -2.186451 -8.435602 -3.345540 17.738270 4.680588 4.274776 -1.036174
-4.258138 -2.722165 -6.403109 -2.597253 19.502773 4.263419 4.240778 -0.662980
-4.789759 -3.378861 -8.450628 -2.228779 17.741270 4.572934 4.704098 -0.347561
-3.320585 -3.632790 -8.235318 -1.621508 18.790398 4.748379 4.744663 2.006618
-4.493366 -4.056995 -7.333225 -1.294391 19.904050 4.850825 5.268305 0.996089
-2.563098 -4.760480 -6.550889 0.091152 20.275683 4.913928 5.067145 2.968078
-0.520123 -4.977602 -5.006714 0.245340 19.111940 4.367605 5.347642 2.815824
-2.624458 -4.973358 -4.584699 0.575520 19.580380 3.720696 5.018398 4.788836
-0.318505 -4.679219 -3.992531 1.307473 20.232343 3.420304 5.147980 4.037698
-0.801030 -5.483247 -3.874871 1.981655 19.396410 2.750004 4.597627 4.032829
1.279375 -4.924896 -4.042123 2.674111 18.101303 1.986871 4.616577 5.573006
1.616515 -4.573188 -1.817438 3.232220 19.881786 1.319558 3.944205 6.409222
0.993226 -4.622565 -1.371248 3.407698 20.211321 0.821707 3.562555 6.338631
3.264182 -3.734828 -1.584223 4.071421 20.217103 0.431933 2.697291 7.263952
3.815647 -3.751055 -0.626774 4.512319 20.025319 -0.414367 2.472423 6.065860
2.635845 -2.975991 0.399492 5.014663 20.702625 -1.258499 1.816432 6.784266
5.085646 -3.096224 0.386563 4.734192 19.830288 -2.117220 1.062342 8.151378
5.460374 -2.440795 2.558480 5.075471 19.337268 -2.462462 0.576548 9.435544
3.878006 -2.124694 3.997728 5.487893 20.041619 -3.117787 -0.335057 8.560601
6.176097 -1.049131 4.577650 5.327810 20.217614 -3.548488 -1.010760 11.927871
6.689873 -0.298746 3.882243 5.137337 19.118723 -4.386225 -0.897241 9.901673
7.582642 0.396769 5.849405 4.680759 19.322079 -3.767962 -2.183599 12.434064
7.219249 1.304633 5.432985 4.942339 20.763250 -4.336965 -2.418643 10.397913
9.314517 1.557814 5.578826 4.858395 18.086520 -4.578253 -3.205154 13.707359
7.261364 1.920666 5.661821 4.156030 18.783434 -4.882837 -3.632560 14.366968
8.262777 2.800387 5.973614 4.060259 17.589489 -5.014378 -4.214119 12.313835
10.071315 2.979725 6.248513 3.382470 17.879351 -5.157155 -4.547647 13.755503
9.540551 4.089688 8.084711 3.446277 18.418759 -4.698435 -5.113189 16.943296
10.295491 3.766039 6.465249 2.570157 16.752631 -4.819013 -4.481334 14.501961
10.509500 4.006048 8.663237 1.959749 18.022536 -3.886337 -5.260598 14.602726
12.544796 4.419804 9.232398 1.272050 16.510005 -3.990042 -5.769708 14.995896
11.517870 5.213386 11.235162 0.803463 17.843189 -2.897829 -5.110012 15.783990
12.053421 5.535434 10.719946 0.273851 14.731265 -2.641303 -4.553120 16.211957
14.035874 5.181384 12.171442 -0.459926 15.833231 -1.647589 -5.045855 16.333542
13.567995 4.912235 11.327472 -1.023233 16.523113 -1.315910 -4.560372 17.440381
15.871999 4.158967 11.515093 -1.542082 14.232545 -1.083696 -4.539734 17.967056
15.273172 4.411619 11.833402 -2.411087 13.874890 0.242400 -4.017996 19.646865
15.107687 4.409253 15.206173 -2.978789 12.704432 0.727108 -3.238764 17.814866
14.487607 3.570665 13.000919 -3.283560 10.781499 1.268666 -2.596897 18.278793
15.560436 3.225091 13.419009 -4.245934 12.581969 1.908935 -2.300393 18.029076
15.332752 2.743526 14.045454 -4.043313 13.930427 2.586883 -1.718168 16.732182
16.002523 1.910120 16.175965 -4.296880 12.370379 3.095750 -0.848138 19.224415
17.339479 1.780573 16.091081 -4.906583 10.029838 3.796386 -0.254147 19.385286
16.419688 1.022928 16.414415 -5.039838 11.105031 3.614958 0.364429 19.112440
18.045105 0.391212 15.796596 -5.465329 10.324835 4.200252 1.237013 19.851266
17.151359 -0.187583 16.600334 -4.916656 9.290955 4.752179 1.831268 19.835398
17.777711 -1.356643 16.518252 -5.170739 8.880810 4.722244 2.054798 18.813597
17.535936 -1.635835 16.668866 -5.188156 8.583047 4.789182 3.178814 20.445510
18.454863 -2.659719 19.213951 -4.904970 8.240965 4.849548 3.645346 21.209928
17.978044 -2.928763 15.546763 -4.709620 7.628945 4.857451 4.088810 21.138405
19.114876 -3.226430 18.188870 -4.245222 6.836424 4.808020 4.167280 20.739511
18.260434 -3.415314 17.790518 -4.123208 5.969259 4.521173 4.682541 19.560410
20.342910 -3.840208 16.276922 -3.811191 4.314091 3.869388 5.402563 19.839746
20.030628 -4.387846 19.931784 -3.304915 5.099404 3.793535 4.701477 19.592340
19.438233 -4.716934 17.590846 -2.470938 3.476171 3.006078 5.132885 19.707112
20.061367 -5.104717 18.047633 -2.421763 3.891076 2.553180 4.599748 19.651807
19.648856 -4.856046 19.547806 -1.363686 3.704107 1.869499 5.189508 18.508141
19.310493 -4.890898 19.993910 -0.845509 1.416206 1.309399 4.660466 19.588661
19.776852 -4.971017 20.076874 -0.670163 -0.251200 0.570335 4.712082 20.381962
19.295985 -4.647652 19.307479 0.120411 0.554575 -0.308784 4.267763 21.173767
19.257411 -4.172197 18.840154 0.887637 -0.025291 -0.468297 3.686181 21.041238
20.228310 -3.996775 20.227293 1.421927 0.961484 -2.039888 3.265492 19.046507
19.125444 -3.274362 19.174356 1.999608 -1.720598 -2.149509 2.845275 18.018609
21.559250 -3.744904 18.914586 2.874233 -1.539848 -2.790703 2.086930 17.146263
20.229295 -2.503787 19.697807 3.185398 -1.992354 -3.312972 1.961261 18.097113
20.683133 -2.317285 21.242982 3.730254 -2.387895 -3.805020 1.289761 19.680422
20.698471 -0.914868 19.437870 3.745857 -1.610893 -3.657275 0.302544 18.725059
18.473489 -1.255479 21.991630 4.636231 -2.834886 -4.983874 -0.248023 17.618769
18.457967 0.030629 19.582674 4.432995 -5.300669 -4.696224 -0.978853 17.278181
18.957063 0.430639 19.295107 4.908145 -7.286677 -4.591001 -1.870594 15.334350
17.224685 1.174449 18.715958 4.828676 -8.070549 -4.644240 -2.368499 15.616982
18.880848 2.215562 20.298221 4.845198 -6.870753 -4.957282 -2.867457 16.776410
17.861393 2.264976 20.552687 4.842580 -7.645822 -4.859377 -3.388634 17.373307
17.419400 3.206811 19.677211 5.251443 -9.151597 -4.463389 -3.987026 16.027115
17.450561 3.325111 22.011753 4.852982 -8.920100 -4.236056 -4.641729 16.205704
17.117213 3.568352 19.625643 4.433184 -7.553872 -3.537117 -4.512465 15.957646
15.291853 4.490196 19.095130 4.405499 -10.620269 -3.527402 -4.742776 16.254801
17.999945 4.819739 19.700418 4.143716 -9.642460 -2.535789 -5.409977 14.023273
17.858963 4.820362 19.873143 4.165045 -11.235201 -2.451242 -4.854484 14.599128
15.575699 4.702413 19.169323 3.824184 -9.944367 -1.743824 -5.112416 13.388055
15.619986 5.198962 16.061392 3.111734 -11.551256 -1.260566 -4.611534 13.510029
14.472559 4.806453 17.901868 2.082787 -13.186134 -0.289400 -4.794774 12.735924
14.209599 5.150310 16.874985 1.905514 -13.889622 0.111615 -4.506246 12.081867
13.806584 4.474209 18.027622 1.239656 -13.137892 0.663858 -4.441416 12.561196
15.141846 4.601173 18.277073 0.197803 -13.534401 1.538684 -4.243925 11.593232
14.803771 3.201461 18.709211 0.013138 -15.373182 1.948264 -3.297997 11.395565
13.133398 4.297932 16.377385 -0.905715 -16.007298 3.238489 -3.172604 10.138110
13.437095 3.214069 16.425162 -1.457952 -15.515143 3.425032 -2.315775 10.847961
12.055105 2.669803 15.711934 -1.926935 -15.576481 3.866230 -2.044522 10.255733
12.737224 2.001683 14.159081 -2.341297 -15.812261 3.762842 -1.613899 8.511227
11.918355 1.506133 14.577490 -2.715473 -17.341129 4.640097 -0.679013 7.305521
10.209082 0.937563 12.453693 -3.561984 -18.226654 4.700121 -0.073225 6.687850
10.919839 0.040976 15.186670 -3.763044 -18.109847 4.636735 0.727489 7.778534
9.647603 -0.763350 14.928877 -4.245783 -19.305782 5.016453 1.020672 7.804735
8.759765 -1.089693 12.497065 -4.795529 -18.211561 4.433715 1.769292 6.503295
8.216610 -2.152624 12.911785 -4.571437 -17.509344 4.395336 3.062964 5.705145
9.323972 -2.470138 13.061175 -5.271559 -17.795064 4.884045 3.385574 4.324486
7.341063 -3.147598 11.248291 -5.340126 -19.085751 4.570317 3.581835 3.940894
6.515476 -3.584196 10.421559 -4.962253 -20.215518 3.677580 4.141399 2.911251
7.080699 -3.911520 10.839868 -5.151256 -19.681791 2.698888 4.420575 2.356483
5.525928 -4.333996 9.813130 -4.785135 -18.933276 2.708203 4.675128 2.145860
6.162148 -4.930033 9.319787 -5.027514 -20.510811 2.256494 4.748236 2.082815
4.673141 -4.879937 8.693035 -4.958295 -20.001118 1.768001 4.809979 0.060581
4.576632 -5.058025 8.839766 -4.530234 -20.210727 1.254415 5.230900 1.312623
2.407732 -5.058386 8.251351 -4.006030 -18.348714 0.713598 4.813382 -0.174205
3.478691 -5.457661 8.181712 -3.577021 -19.726977 -0.612516 4.706182 -0.713384
4.056832 -4.634731 7.038254 -2.678550 -22.397731 -1.524584 4.713088 -2.520956
1.083822 -4.602503 7.188311 -2.375351 -22.164797 -1.706690 4.142721 -3.006931
0.904747 -4.040764 6.260322 -1.369349 -21.088137 -1.752851 4.483612 -3.122769
-1.047691 -4.545574 4.633734 -1.441455 -20.352193 -2.800514 4.159991 -4.969560
0.731707 -3.185307 4.669879 -0.231103 -21.177348 -3.607489 3.490776 -5.889330
-0.677030 -2.614027 4.660489 0.002204 -19.714615 -4.040352 2.414408 -7.202341
-1.784618 -2.453049 3.183278 0.396168 -20.328479 -3.923189 2.091376 -5.162033
-2.126965 -1.963285 1.830776 0.918614 -18.542955 -4.660931 1.317070 -5.450251
-4.287951 -0.848847 0.636723 2.195183 -20.191533 -4.866246 0.530072 -7.068586
-0.690108 -1.090047 1.396661 2.254074 -18.610884 -4.998760 0.262136 -6.767987
-3.800562 -0.157212 1.790591 2.805054 -19.561053 -4.431915 0.078421 -7.222043
-4.890215 0.585263 0.145441 3.259378 -18.025988 -4.871141 -0.828080 -10.074990
-6.373795 1.317088 -0.624541 3.756598 -19.720820 -5.054617 -1.948285 -10.464447
-5.085594 1.619918 -0.601193 4.013160 -18.900180 -4.461183 -2.324998 -10.901710
-8.725039 2.890645 -0.964117 4.754027 -19.502831 -3.881684 -2.680663 -8.957611
-5.864545 3.581593 -3.371642 4.735568 -15.983672 -3.196858 -3.169859 -9.464769
-7.351115 3.373787 -2.488265 5.041516 -18.743120 -3.138352 -3.929464 -10.361392
-7.301885 3.565256 -3.702431 5.096081 -17.340251 -2.331410 -4.358983 -10.800837
-10.097346 4.518681 -3.119849 5.101168 -17.656132 -1.901435 -4.505763 -12.140098
-9.316330 4.239969 -5.420823 5.680604 -17.256440 -0.935716 -5.068766 -14.496434
-9.736785 4.872818 -6.037042 5.275824 -14.610227 -0.760161 -5.002294 -12.680672
-11.198937 5.167750 -5.062723 4.827315 -14.219726 -0.107404 -5.123463 -14.409290
-9.922712 4.487016 -7.304237 4.713455 -15.646964 0.754596 -5.215409 -13.620720
-11.762179 4.810459 -7.633315 4.502511 -15.597581 1.633077 -5.050997 -14.282580
-11.903545 4.608509 -7.714190 3.543382 -15.581237 2.095635 -4.845766 -14.863904
-12.778652 3.724166 -9.163758 3.780203 -16.031318 2.754973 -4.419411 -14.707749
-13.384765 4.854966 -9.008474 3.224198 -13.629007 3.265075 -4.519404 -16.403368
-15.360178 3.847707 -9.803230 2.348913 -13.070842 3.506058 -3.808305 -16.634019
-13.489650 3.398720 -9.794113 2.365085 -13.153457 4.339007 -3.580367 -15.985628
-15.496321 2.883594 -11.128867 1.343561 -11.272694 4.255756 -3.015318 -16.504284
-14.646525 2.179418 -10.792946 0.917582 -12.202787 4.273051 -2.052918 -16.660827
-14.287625 1.725047 -11.656621 0.095798 -11.974367 4.750704 -1.568377 -18.002532
-16.679077 1.426432 -10.769106 -0.408163 -10.889305 4.747331 -0.893334 -16.347764
-17.749537 0.258303 -11.731252 -0.698091 -10.120303 4.805635 -0.955799 -17.308822
-16.034724 -0.490990 -11.376995 -1.363129 -10.788636 5.198200 0.098894 -19.491496
-16.390808 -0.829339 -15.283893 -2.101192 -8.690360 4.541614 0.905502 -18.995485
-17.775333 -1.823231 -14.989388 -2.685491 -8.757767 4.016817 1.594698 -18.465266
-16.882281 -2.074548 -13.630550 -3.403715 -8.378757 3.937377 1.986109 -18.826803
-17.963421 -2.789526 -14.755380 -4.038230 -7.707136 3.447690 2.421623 -18.477606
-19.597643 -2.858609 -14.117446 -3.971070 -7.728433 3.072427 3.040261 -20.484557
-17.081135 -3.817281 -15.506640 -4.960325 -6.117392 2.660689 3.619839 -17.917120
-17.915788 -3.638090 -18.594557 -4.213004 -7.009629 1.540646 4.264623 -21.307523
-17.168624 -4.311367 -17.406618 -4.926769 -5.203176 1.240563 4.415834 -21.028901
-18.580777 -4.308922 -16.744004 -4.973342 -4.185612 0.065174 4.859426 -19.577733
-20.624565 -4.569636 -17.900945 -4.652045 -3.307164 0.049285 5.201594 -19.922433
-18.431472 -5.459574 -17.725013 -5.070616 -3.249150 -1.224366 5.203298 -19.593524
-19.697709 -4.937618 -18.213850 -5.054719 -2.450040 -1.544051 5.018698 -19.619037
-20.770522 -4.679436 -17.158571 -5.120618 -1.867958 -2.571127 5.326586 -19.901173
-19.341841 -4.561098 -18.992070 -4.752896 -1.572193 -2.765030 4.595549 -20.608737
-19.509184 -4.040642 -18.969160 -4.642909 -1.903252 -3.480680 4.914100 -21.066323
-18.889111 -4.329385 -17.914226 -4.053328 0.521233 -3.543845 4.463235 -20.831123
-19.155813 -3.846573 -20.798289 -3.387676 -1.457304 -4.139818 3.919924 -19.078853
-21.022923 -3.025753 -19.547940 -3.769717 0.986185 -4.498502 3.811667 -21.502851
-20.009456 -2.825990 -19.885061 -2.877320 2.331527 -4.623281 2.758762 -19.111470
-20.315083 -2.572617 -20.083547 -2.725741 3.703220 -4.832693 2.200029 -21.367039
